speakeroldname,speechtext,speakerparty,speakerriding,speakername
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I agree entirely with the member opposite that Canadians love to get outdoors and enjoy our wilderness, which is why I am so proud that this government has made it free access to Canada's national parks for our 150th birthday. The opportunity for millions of Canadians to get out to discover the extraordinary wild spaces across Canada, to see the amazing parks we have is something I know all members of the House will encourage Canadians to go discover our national parks this summer.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am tremendously proud to remind Canadians that this year access to our national parks is absolutely free. We know that for our 150th birthday, encouraging Canadians to get out and discover the amazing beauty of our national parks, our historic sites, is going to be really important to create the kind of pride in our country and to share with our kids the extraordinary natural beauty for future generations to come.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as everyone in the House knows, I take very seriously the responsibility of society, to protect survivors of sexual assault, to give them processes through our justice system that will give them the right support. However, as everyone in the House also knows, I respect Parliament and the work done in committees. I encourage everybody to continue to do their—",Liberal,Papineau,Justin Trudeau
Right Hon. Justin Trudeau,"Mr. Speaker, I look forward to the discussions being had at committee right now on the best way to protect survivors within our justice system. I can emphasize again that we have put forward a strategy on gender-based violence and have even put money toward the training of judges, as well.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, not only do we know how important it is to ensure that survivors of sexual assault have strong access to justice, we also need to make sure that our judiciary looks more like Canada. That is why we are proud that 60% of our appointments to judge positions at the federal level were women. That is up from about 35% under the previous government. The fact is, there are a lot of things we can and must do to improve the way our justice system treats survivors of sexual assault.
 I am pleased that the committee is looking at many ways of doing it, including the private member's bill brought forward by the member.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the previous government used omnibus bills to prevent debate in the House and to limit the ability of MPs to examine what was in the budget by putting all kinds of different things in one single budget.
We made a commitment to put only budget items that are part of Canada's economic plan in the budget implementation bill. That is exactly what we are doing. We will not make inappropriate use of omnibus bills like the former government did.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I saw for many years the previous government use omnibus legislation as a way of avoiding debate, as a way of putting everything into a piece of legislation, whether or not it had links to it.
A budget bill contains--",Liberal,Papineau,Justin Trudeau
Right Hon. Justin Trudeau,"Mr. Speaker, any budget bill contains a broad range of provisions that will include economic outcomes for Canadians that touch on a broad range of issues, because Canadians want to know that their government is dealing with the broad scope of challenges Canadians are facing at the economic level.
That is exactly why we are proud of all the elements in this budget that are being put forward to help the middle class and those working hard to join it.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are proud to be following through on our commitment to strengthen the independence of the parliamentary budget officer; to make him or her a full officer of Parliament, accountable to the Speakers of the House and the Senate and not to the librarian of Parliament; to give him or her greater tools to access information to answer the questions parliamentarians may ask; and even, at the request of political parties, to evaluate political platforms to make sure Canadians know what they are getting when they vote for someone.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I understand the concerns and fervour of the member opposite.
When we were in the opposition, we too had need of a more independent parliamentary budget officer who could answer our questions. Thanks to this bill, you will have improved access to an officer of Parliament, the parliamentary budget officer, who will be able to do what is expected.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, it was a family vacation with a long-time family friend. As I have said many times, I am very happy to work with the Conflict of Interest and Ethics Commissioner and to answer any questions she may have. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am very proud to have welcomed Malala as an honorary Canadian citizen here, in Ottawa, so she could address Parliament.
I would like to point out that she became an honorary citizen thanks to a unanimous vote in the House of Commons. Everyone wanted Malala to become a Canadian citizen.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as I have said a number of times, this was a personal family vacation with an old friend. We are happy to work with the Conflict of Interest and Ethics Commissioner to answer any questions the member may have. 
At the same time, we are proud of the things we have been doing for the middle class and those working hard to join it, which has included lowering taxes on the middle class and raising them on the wealthiest 1%, despite that member and all of her colleagues voting against raising taxes on the wealthy.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I certainly do not think you are kidding anyone in the House.
The fact is, we will continue to work with the Conflict of Interest and Ethics Commissioner to answer any questions she may have. In the meantime, we will continue to stay focused on lowering taxes on the middle class, raising them on the wealthiest 1%, and delivering a Canada child benefit that helps nine out of 10 Canadian families and will lift hundreds of thousands of kids out of poverty right across this country.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as I have said many times, I am happy to work with the Conflict of Interest and Ethics Commissioner to answer all questions she may have so that she can determine that indeed all the rules were appropriately followed.
The fact is, we know that being ready to work with the Conflict of Interest and Ethics Commissioner is extremely important, and that is exactly what we are doing. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are happy to engage on an ongoing basis with the Conflict of Interest and Ethics Commissioner. This is important, because Canadians need to have confidence in the people who wield public trust, and that is exactly why I am so pleased to be working with her. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as I said, I am very pleased to be able to work with the Conflict of Interest and Ethics Commissioner. However, as we know, it is the RCMP that makes recommendations about the most secure way for the prime minister to travel. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I have answered the question a number of times in this place. 
What I continue to work on is focusing on the things that matter to Canadians, whether it is lowering taxes for the middle class and raising them on the wealthiest 1%, putting forward a budget with historic investments in infrastructure that are going to make it easier for Canadians to get to and from work, or making sure that there are proper investments in the national housing strategy. These are the kinds of things that Canadians talk to me about whenever I leave the House and go across the country. Canadians want to know how the government is working for them, and we are happy to be talking about that. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, any ethics question is a serious one. That is why I am so happy to work with the Conflict of Interest and Ethics Commissioner and answer any questions she has on this issue.
We continue to be focused as a government on the things that Canadians talk to us about in our constituencies and across the country, whether it is continuing to lower their taxes, as we already have, or investing in the kind of strong future for our students and our workers, who are looking at the changing job market and needing the support of a government that is actively helping them find new opportunities. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as Canadians know, we take the security of Canadians and of all air travellers extremely seriously. That is why we work with our police and security agencies, with our international partners, and with our airlines to determine how best to keep air travellers safe. I can reassure Canadians that we always do everything necessary to ensure that Canadians are safe, while at the same time protecting their charter rights and freedoms. That is what we will continue to do every step of the way.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the safety and security of Canadians and indeed all travellers are extremely important to this government. That is why we work every day to ensure that we are doing everything we can to keep Canadians safe. Our security agencies and police agencies work carefully every day to ensure that people are safe as they travel through our airports and elsewhere. That is why we are also moving forward on a committee of parliamentarians that will have oversight over our national security agencies and police agencies, to ensure that our charter rights are protected and that all our agencies are doing everything they can to keep Canadians safe at all times, which they are.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, all members of the House want to make sure that Canadians are safe. That is why we are working together every day to ensure that our police and intelligence services are doing everything they need to do to protect Canadians.
I am very pleased to know that a committee made up of parliamentarians from all parties will be overseeing the actions of our police and national security agencies to ensure that everyone's rights and freedoms are respected and, more importantly, that Canadians are always safe in airports and in their communities.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are moving forward on legalizing marijuana for two reasons. One is that the current regime is failing our kids. Right now, under-age kids have easier access to marijuana than those in any country around the world. There is higher per capita use by under-age Canadians than kids in any other country. 
We want to make it more difficult for kids to access marijuana. That is why we are going to legalize and control marijuana. We also want to remove the billions of dollars from criminal organizations and street gangs that they use to commit more crimes.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I can go one better. I was in China last year and actually brought it up directly with the Chinese leadership. 
The issue of Canadian steel and the prevalence and the dumping of Chinese steel is one that has concerned this government for a long time. That is why we have taken tangible, concrete steps in engaging with the Chinese at the highest level and why we continue to work with our American partners to ensure North American steel is supported and protected.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the fish and seafood sector is integral to the economic and social fabric of thousands of coastal and indigenous communities in Canada, generating over $2.3 billion a year for the Canadian economy.
Our government is reflecting on future opportunities for this sector and taking the necessary steps to transform it and support innovation to help it achieve even greater success. That is why we recently announced a $325-million investment in the new Atlantic fisheries fund.
Investments under the Atlantic fisheries fund will increase employment opportunities for middle-class Canadians in coastal communities.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, this was a family vacation to visit an old time friend. As I have said, we are working with the Conflict of Interest and Ethics Commissioner to answer any of these questions. It is important that we do just that, and that is what we are doing.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as I said, I am happy to work with the Ethics Commissioner on an ongoing basis to answer any questions she may have.
Again, this government remains focused on the things Canadians are talking to us about every day, right across the country: whether it is how we will secure retirement for their aging parents, we talk about strengthening the CPP and increasing the GIS; whether it is giving opportunities to young people, we talk about increasing the Canada student grant by 50% and giving young people better access to post-secondary education. 
We put $2 billion into research and university research facilities to ensure we are innovating for the future.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the abuse of omnibus legislation under the previous government was egregious and something on which we committed to take action. That is why in the legislation we put forward, including in the budget legislation we put forward, everything is related to the budget. Everything is thematically linked. 
On top of that, what we are proposing in terms of changes to the Standing Orders will allow you, Mr. Speaker, to group into thematic groupings any piece of legislation to allow different committees to be able to study it better.
That is one of the ways in which we could make the House work better, if we worked—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am pleased to hear the member's passion for reforming our democracy and I am excited to get all input from members of this House on how we can improve and modernize the functioning of this House.
That is exactly what we are looking forward to: engaging with all members in this House in a substantive conversation on how to better serve our constituents and all Canadians, with rigorous debate that allows the opposition to hold the government to account and allows government to continue to fulfill the ambitious election promises that we made.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am pleased to confirm that this is exactly what we signed an agreement to do with the B.C. government, and indeed with all governments across this country.
We will work together to reduce the costs of prescription drugs. I was pleased to have the Government of British Columbia be part of this. We are moving forward on doing exactly that.
How are seniors are protected is extremely important to us. That is why we increased the GIS for our most vulnerable single seniors by 10% and why we lowered the age of retirement from 67 to 65. 
 We are going to continue to work for our seniors, and I thank the member opposite for her important question and her support.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I was pleased to be out in B.C. a number of months with the Minister of Transport and the Minister of Fisheries, Oceans and the Canadian Coast Guard to announce a historic oceans protection plan that is going to demonstrate world-class protection of our oceans, including empowering coastal communities to have the tools and the support they need to be the first responders that they so often are in situations of distress and accidents.
We know that investing in protection for our oceans makes sense both for the environment and for the Canadians who make their living on the ocean. That is why we are so serious about moving forward on a world-class oceans protection plan.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am proud of the work our Minister of Foreign Affairs has done, in Brussels last week and in Italy this week, with our international partners on holding the Syrian regime to account.
On the issue of Russia, I think the Russian government has a very serious choice to make: whether it continues to support the war crime-committing, bloodthirsty regime of Bashar al-Assad or whether it stands with the international community in condemning those actions and moving forward in a real, tangible way towards peace for the Syrian people.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, one of the things that Canadians have appreciated is our engagement back on the world stage in multilateral forums and recognize that Canada is most effective when we work alongside like-minded partners and act in concert to put pressure on various bad actors in the international order. That is why we are working so carefully with our colleagues and allies around the world to ensure that we are holding governments, like the Russian government, to account on the choices they make and ensuring that the sanctions we bring forward are the most impactful possible from an international standpoint.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we believe that constructive engagement on the world stage is what Canadians expect. 
Our re-engagement with UNRWA is actually allowing us to hold to closer account the choices and the funding that is delivered through that mechanism. We know that Canadian pressure and Canada being part of UNRWA allow us to ensure that the help is going to where it is needed and it is not creating negative consequences for Israel or for anyone else.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I thank the member for Dorval—Lachine—LaSalle for her question.
Our government has continually emphasized how crucial education is to empowering girls. Education promotes gender equality, reduces the incidence of child marriage and unwanted pregnancy, and promotes peace. 
Last year, close to $334 million of our international aid funding went to education. That is 9% of our total international aid.
As we move toward implementing the 2030 agenda, we must work together to make quality education available from early childhood to the end of school—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are proud that in budget 2017 we highlighted historic amounts of investment in infrastructure right across this country for bridges, roads, public transit systems, social housing. The impact on Canadians right across this country is going to be massive.
Indeed, Canada has developed over the years a tremendous level of expertise in infrastructure investments, whether it is through our pension funds or elsewhere. Participating in infrastructure investments all around the world makes good sense for Canadian know-how and for Canadian investors.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, no relationship is more important to this government than the relationship with indigenous peoples. That is why we are working so hard to invest historic amounts of money, $8.4 billion in our first budget, billions more in the most recent budget, to begin the long work of creating opportunities and parity for indigenous peoples across this country.
I am extraordinarily proud of the work our justice minister is doing on this file and many other files. I stand by her in the great work she is doing.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I want to thank the member for Laurentides—Labelle for his question and for his tireless work on rural issues. 
For people who live in rural regions, high-speed Internet opens up a world of economic opportunity. With the “connect to innovate” program, we will invest up to $500 million between now and 2021 to bring broadband Internet access to 300 of Canada's rural and remote communities.
I know there are going to be Canadians all across the country getting onto their mobile phones, accessing their Internet, turning on their TVs, to watch the Stanley Cup playoffs, which start tonight, and I know that everyone across this country will join me in rooting for the Montreal Canadiens over the Maple Leafs, over the New York Rangers--",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we have set up a new judicial appointment process that made it possible to appoint women to 60% of the positions, since the beginning of our term, while the previous government made roughly 35% such appointments. We are very proud of our record on this.
In Quebec, there are 163 federal judicial appointments. There are six vacant positions that we will fill shortly. We are taking this very seriously. The federal government is doing its work.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, it was a tremendous honour today to welcome Malala Yousafzai in this House, and I agree with the member opposite that it was a historic moment. It challenges us all to do more and to be more. 
I can assure all members of the House that next year, in our G7 presidency, there will be a strong emphasis on gender equality and opportunity for women and girls across the world and here at home, including an emphasis on education. 
I look forward to working with the Global Partnership for Education to ensure that we are investing properly in education right around the world, specifically for girls. I know that ensuring K-12 education for all girls around the world is one of the paths forward to creating peace and prosperity around the world, opportunity for all, and economic growth for our country and for the developing world. That is what we will do.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are shocked and appalled by the reports of chemical weapons attacks against civilians in Syria. Many of the victims were children. 
It is critical that we hold those responsible to account for these war crimes. We are supporting evidence gathering to achieve that end. In addition, we will provide $840-million worth of lifesaving humanitarian and development assistance for the region to alleviate the suffering in this conflict.
As we speak, the Minister of Foreign Affairs is at the Brussels conference on the future of Syria. These meetings will work toward finding a lasting political resolution to the Syrian war and to addressing the critical needs of the most vulnerable.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, Canada is proud that we have stepped up in the fight against Daesh by contributing significantly to training on the ground, to supporting the Peshmerga, to demonstrate that there are many ways that Canada can have a positive impact in the fight against Daesh.
We continue to stand strongly with our international allies, including in the Iraqi government, as we bring the fight to a positive conclusion alongside our allies.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, on our commitment to continue as a valuable member of the coalition against Daesh, we were very clear in the election campaign that we would look for ways that better suited Canada's capacities. That is what we told our allies and explained to them throughout those months as we were determining how best Canada could help.
I can assure this House and all Canadians that our allies were very pleased with the level of contribution Canadians offered over the past months, a year and a half, to the fight against Daesh.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I thank the hon. member for her intervention.
Indeed, we are all concerned about the cost of living for all Canadians. That is why we did something about it. We lowered taxes for the middle class and increased them for the wealthiest 1%. We implemented the Canada child benefit, which gives more money to nine out of ten Canadian families every month and as a result lifts hundreds of thousands of young people out of poverty and reduces child poverty by 40%. 
We agree with the hon. members across the way that a lot of work still needs to be done, but we are here to keep working for Canadians.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I recognize the passion the member opposite has for this issue and recognize all members in the House who have stood up strongly in talking about autism and celebrating the advancements that have been made and indeed highlighting the work that we continue to do. 
On Bombardier, I do need to point out that this was a loan that we were happy to make to invest in specific projects that are going to create good jobs for Canadians, that are going to secure the long-term future of the aerospace industry in this country, which leads to economic growth, innovation, and benefits for communities and the middle-class workers who live in them right across the country.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I encourage the member opposite to continue contributing suggestions on how we can improve the working atmosphere in the House, how we can better deliver for Canadians. We are happy that we have launched a conversation about how we can modernize this place, how we can improve the service we offer, both to Canadians and to our constituents. I look forward to engaging with all members in the House on improvements that can be made to this place as we move forward.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are pleased that we have brought forward proposals to help modernize Parliament, and I look forward to start discussing the various options in committee. I want to hear what our friends in the other parties are going to suggest. I am really looking forward to working with them to ensure that Parliament better serves Canadians across the country and that we better serve our constituents as well.
I believe that everyone knows that we can always do better, and that is exactly what I hope to do, together with the members of Parliament.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we promised to legalize and control cannabis for two very specific reasons.
First, we want to prevent our kids from having easy access to cannabis, as they do now. We know that it is easier for a young person to buy a joint than a bottle of beer. That is unacceptable. At the same time, we know that organized crime groups make billions of dollars trafficking marijuana, and that is exactly what we want to prevent.
Decriminalizing cannabis will do nothing to protect our kids and nothing to counter organized crime, and I will continue to repeat that until—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I understand the question and concerns the members opposite have, but our focus on legalization and control of cannabis is on protecting our kids and on getting the money out of organized crime's pockets. We know that happens when we legalize and control and bring in a proper regime. The fact is decriminalization does nothing to protect our kids, nothing to remove the profits from the hands of criminals. Until such a moment as we have a legal framework that protects our kids and stops the criminals from profiting, it will remain illegal.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we have been working with the U.S. government on resolving this issue from the very beginning of our mandate. 
We know that thousands of jobs and communities across the country depend on forestry. It is our duty to keep working very hard to protect those jobs and create more opportunities in Canada's forestry industry. We know that Americans do not want their housing and construction costs to go up. Canada is a major supplier of softwood lumber for American consumers.
We will keep working with the U.S. government to resolve this frustrating dispute.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I totally agree with the hon. member. He makes a very good point. We need to do more to explain to the Americans just how important free trade between Canada and the U.S. is for jobs and for consumers on both sides of the border.
We will continue with our work and remain united in our desire to resolve this issue. That is why we are so determined and are working so hard to protect Canadian jobs and create economic growth in communities across the country.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the investments we are making in the future of our aerospace industry will lead to good jobs across the country and to economic growth and innovation. 
The loan we made to Bombardier that is focused on two specific products, the C Series airplane and the Global 7000, demonstrates that we believe in the strong future for the aerospace industry in this country, and why we are going to continue to make investments that will lead to good jobs and opportunities for innovation and growth right across the country in high-value industries, like the aerospace industry.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as I have said many times, we believe in the strong future for the aerospace industry in this country, and are happy to make investments that will lead to good jobs, growth and opportunities not just right now but for decades to come. The kinds of investments we are making in innovation, in the growth of the C Series and the Global 7000, will ensure the kind of opportunity and prosperity that Canadians have long been looking for. This is why we are making the right kinds of investments in our future and why we will continue to make investments, like lending Bombardier significant amounts, to be able to create opportunities to grow and succeed and continue our economic—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I agree with my hon. colleague in that we are very proud of Bombardier and of what it has accomplished in the aerospace industry over the years, the good jobs it has created, and the innovation and economic leadership it has shown across the country.
That is why we were happy to invest in two specific programs by providing a loan to Bombardier that will translate into the long-term viability of these projects and create job opportunities in the aerospace industry across the country.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am always pleased to highlight for the House the investments that Canada is making in our aerospace industry because we know that this will lead to good jobs today and in the future, stimulate innovation, and enable us to capture a larger share of the global market. It will help us demonstrate that Canada makes good-quality merchandise and goods and provides services throughout the world.
We know that investments are needed to achieve this success and we are proud of what we are doing to create opportunities for Canadians.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am very proud to say that, as a government, we are open to working together, across party lines, to properly represent Canada and build this relationship.
I want to point out the work that we are doing with all of the different parties in the House to properly position ourselves with regard to the new American administration. Many premiers from various provinces and political parties are diligently working with us to present a united front to the United States. It is important that we listen to each other and work together because this goes beyond partisanship—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we recognize the challenges that so many people in the Hamilton area and indeed across the country in the steel industry are facing. That is why we are so determined to work with our partners and allies and industry partners here in Canada to strengthen the steel industry.
The issue of steel is one that has come up many times in our engagement with the United States. I can tell the member that we are working in a constructive, productive way to promote and defend our North American steel industry, to highlight the important role that the Canadian steel industry has in markets around the world, and to ensure that we are making the best possible secure future for our citizens and—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am pleased to personally answer this question.
The fact is that I accept any suggestions and opportunities the member has. As he puts forward suggestions and opportunities that we can have to improve the tone of this House to make sure that we are working in better ways—",Liberal,Papineau,Justin Trudeau
Right Hon. Justin Trudeau,"Mr. Speaker, I hear members opposite have many suggestions on how we can improve the functioning of the House. I look forward to listening to that member and to all members of the House put forward their suggestions on improving the way we serve Canadians and our constituents at the same time. I am very pleased to encourage people to participate.",Liberal,Papineau,Justin Trudeau
